date,county,state,fips,cases,deaths
10/15/2022,Adams,Pennsylvania,42001,29031,395
10/15/2022,Allegheny,Pennsylvania,42003,320559,3567
10/15/2022,Armstrong,Pennsylvania,42005,17323,372
10/15/2022,Beaver,Pennsylvania,42007,46424,781
10/15/2022,Bedford,Pennsylvania,42009,12241,283
10/15/2022,Berks,Pennsylvania,42011,117909,1672
10/15/2022,Blair,Pennsylvania,42013,33375,651
10/15/2022,Bradford,Pennsylvania,42015,18863,222
10/15/2022,Bucks,Pennsylvania,42017,144754,2028
10/15/2022,Butler,Pennsylvania,42019,52019,791
10/15/2022,Cambria,Pennsylvania,42021,40562,772
10/15/2022,Cameron,Pennsylvania,42023,954,21
10/15/2022,Carbon,Pennsylvania,42025,18563,316
10/15/2022,Centre,Pennsylvania,42027,41491,373
10/15/2022,Chester,Pennsylvania,42029,109929,1240
10/15/2022,Clarion,Pennsylvania,42031,9415,212
10/15/2022,Clearfield,Pennsylvania,42033,22502,374
10/15/2022,Clinton,Pennsylvania,42035,10436,134
10/15/2022,Columbia,Pennsylvania,42037,18117,262
10/15/2022,Crawford,Pennsylvania,42039,23233,342
10/15/2022,Cumberland,Pennsylvania,42041,58897,932
10/15/2022,Dauphin,Pennsylvania,42043,67701,1015
10/15/2022,Delaware,Pennsylvania,42045,131328,1951
10/15/2022,Elk,Pennsylvania,42047,8127,111
10/15/2022,Erie,Pennsylvania,42049,67196,829
10/15/2022,Fayette,Pennsylvania,42051,36762,719
10/15/2022,Forest,Pennsylvania,42053,2453,36
10/15/2022,Franklin,Pennsylvania,42055,47099,745
10/15/2022,Fulton,Pennsylvania,42057,4740,69
10/15/2022,Greene,Pennsylvania,42059,10001,113
10/15/2022,Huntingdon,Pennsylvania,42061,13063,264
10/15/2022,Indiana,Pennsylvania,42063,20510,382
10/15/2022,Jefferson,Pennsylvania,42065,10398,251
10/15/2022,Juniata,Pennsylvania,42067,5441,187
10/15/2022,Lackawanna,Pennsylvania,42069,53847,842
10/15/2022,Lancaster,Pennsylvania,42071,138720,1984
10/15/2022,Lawrence,Pennsylvania,42073,21823,440
10/15/2022,Lebanon,Pennsylvania,42075,41912,539
10/15/2022,Lehigh,Pennsylvania,42077,103516,1300
10/15/2022,Luzerne,Pennsylvania,42079,87370,1486
10/15/2022,Lycoming,Pennsylvania,42081,32635,568
10/15/2022,McKean,Pennsylvania,42083,9262,157
10/15/2022,Mercer,Pennsylvania,42085,26726,522
10/15/2022,Mifflin,Pennsylvania,42087,14105,289
10/15/2022,Monroe,Pennsylvania,42089,44175,559
10/15/2022,Montgomery,Pennsylvania,42091,184783,2460
10/15/2022,Montour,Pennsylvania,42093,5483,94
10/15/2022,Northampton,Pennsylvania,42095,92708,1170
10/15/2022,Northumberland,Pennsylvania,42097,26514,563
10/15/2022,Perry,Pennsylvania,42099,9825,192
10/15/2022,Philadelphia,Pennsylvania,42101,366034,5318
10/15/2022,Pike,Pennsylvania,42103,12182,106
10/15/2022,Potter,Pennsylvania,42105,3650,97
10/15/2022,Schuylkill,Pennsylvania,42107,39370,718
10/15/2022,Snyder,Pennsylvania,42109,9127,165
10/15/2022,Somerset,Pennsylvania,42111,21137,423
10/15/2022,Sullivan,Pennsylvania,42113,1277,36
10/15/2022,Susquehanna,Pennsylvania,42115,9310,120
10/15/2022,Tioga,Pennsylvania,42117,9416,205
10/15/2022,Union,Pennsylvania,42119,12895,157
10/15/2022,Venango,Pennsylvania,42121,13040,255
10/15/2022,Warren,Pennsylvania,42123,8910,224
10/15/2022,Washington,Pennsylvania,42125,60439,691
10/15/2022,Wayne,Pennsylvania,42127,12129,183
10/15/2022,Westmoreland,Pennsylvania,42129,93270,1470
10/15/2022,Wyoming,Pennsylvania,42131,6076,115
10/15/2022,York,Pennsylvania,42133,137108,1582
