County,State,density,created_user,created_date
Adams County,Pennsylvania,75.93345667,esri_demographics,2020/04/01 20:53:36+00
Allegheny County,Pennsylvania,648.1038604,esri_demographics,2020/04/01 20:53:36+00
Armstrong County,Pennsylvania,39.20909708,esri_demographics,2020/04/01 20:53:36+00
Beaver County,Pennsylvania,148.2328331,esri_demographics,2020/04/01 20:53:36+00
Bedford County,Pennsylvania,18.54071919,esri_demographics,2020/04/01 20:53:36+00
Berks County,Pennsylvania,187.8468263,esri_demographics,2020/04/01 20:53:36+00
Blair County,Pennsylvania,90.93865631,esri_demographics,2020/04/01 20:53:36+00
Bradford County,Pennsylvania,20.6285945,esri_demographics,2020/04/01 20:53:36+00
Bucks County,Pennsylvania,400.1185087,esri_demographics,2020/04/01 20:53:36+00
Butler County,Pennsylvania,91.3441609,esri_demographics,2020/04/01 20:53:36+00
Cambria County,Pennsylvania,75.46916128,esri_demographics,2020/04/01 20:53:36+00
Cameron County,Pennsylvania,4.566212902,esri_demographics,2020/04/01 20:53:36+00
Carbon County,Pennsylvania,64.70895899,esri_demographics,2020/04/01 20:53:36+00
Centre County,Pennsylvania,56.1632729,esri_demographics,2020/04/01 20:53:36+00
Chester County,Pennsylvania,266.0474171,esri_demographics,2020/04/01 20:53:36+00
Clarion County,Pennsylvania,24.95053504,esri_demographics,2020/04/01 20:53:36+00
Clearfield County,Pennsylvania,27.05690534,esri_demographics,2020/04/01 20:53:36+00
Clinton County,Pennsylvania,16.98966779,esri_demographics,2020/04/01 20:53:36+00
Columbia County,Pennsylvania,52.92346829,esri_demographics,2020/04/01 20:53:36+00
Crawford County,Pennsylvania,32.86381961,esri_demographics,2020/04/01 20:53:36+00
Cumberland County,Pennsylvania,175.1320535,esri_demographics,2020/04/01 20:53:36+00
Dauphin County,Pennsylvania,201.9232145,esri_demographics,2020/04/01 20:53:36+00
Delaware County,Pennsylvania,1183.661036,esri_demographics,2020/04/01 20:53:36+00
Elk County,Pennsylvania,14.28374092,esri_demographics,2020/04/01 20:53:36+00
Erie County,Pennsylvania,133.3443917,esri_demographics,2020/04/01 20:53:36+00
Fayette County,Pennsylvania,64.62681405,esri_demographics,2020/04/01 20:53:36+00
Forest County,Pennsylvania,6.642726411,esri_demographics,2020/04/01 20:53:36+00
Franklin County,Pennsylvania,76.87362413,esri_demographics,2020/04/01 20:53:36+00
Fulton County,Pennsylvania,12.80032135,esri_demographics,2020/04/01 20:53:36+00
Greene County,Pennsylvania,24.90043264,esri_demographics,2020/04/01 20:53:36+00
Huntingdon County,Pennsylvania,20.05043477,esri_demographics,2020/04/01 20:53:36+00
Indiana County,Pennsylvania,40.01371619,esri_demographics,2020/04/01 20:53:36+00
Jefferson County,Pennsylvania,26.08845165,esri_demographics,2020/04/01 20:53:36+00
Juniata County,Pennsylvania,24.23260901,esri_demographics,2020/04/01 20:53:36+00
Lackawanna County,Pennsylvania,177.9591753,esri_demographics,2020/04/01 20:53:36+00
Lancaster County,Pennsylvania,220.2186681,esri_demographics,2020/04/01 20:53:36+00
Lawrence County,Pennsylvania,94.19382999,esri_demographics,2020/04/01 20:53:36+00
Lebanon County,Pennsylvania,147.9865105,esri_demographics,2020/04/01 20:53:36+00
Lehigh County,Pennsylvania,405.5747841,esri_demographics,2020/04/01 20:53:36+00
Luzerne County,Pennsylvania,137.8517954,esri_demographics,2020/04/01 20:53:36+00
Lycoming County,Pennsylvania,36.09134841,esri_demographics,2020/04/01 20:53:36+00
McKean County,Pennsylvania,16.48457402,esri_demographics,2020/04/01 20:53:36+00
Mercer County,Pennsylvania,64.65631438,esri_demographics,2020/04/01 20:53:36+00
Mifflin County,Pennsylvania,43.54865793,esri_demographics,2020/04/01 20:53:36+00
Monroe County,Pennsylvania,106.3782509,esri_demographics,2020/04/01 20:53:36+00
Montgomery County,Pennsylvania,656.5915611,esri_demographics,2020/04/01 20:53:36+00
Montour County,Pennsylvania,54.23236423,esri_demographics,2020/04/01 20:53:36+00
Northampton County,Pennsylvania,315.2131093,esri_demographics,2020/04/01 20:53:36+00
Northumberland County,Pennsylvania,77.83131226,esri_demographics,2020/04/01 20:53:36+00
Perry County,Pennsylvania,32.15416035,esri_demographics,2020/04/01 20:53:36+00
Philadelphia County,Pennsylvania,4531.771822,esri_demographics,2020/04/01 20:53:36+00
Pike County,Pennsylvania,39.32009236,esri_demographics,2020/04/01 20:53:36+00
Potter County,Pennsylvania,6.047605239,esri_demographics,2020/04/01 20:53:36+00
Schuylkill County,Pennsylvania,71.18503147,esri_demographics,2020/04/01 20:53:36+00
Snyder County,Pennsylvania,47.52070799,esri_demographics,2020/04/01 20:53:36+00
Somerset County,Pennsylvania,26.93495636,esri_demographics,2020/04/01 20:53:36+00
Sullivan County,Pennsylvania,5.300606117,esri_demographics,2020/04/01 20:53:36+00
Susquehanna County,Pennsylvania,19.38256646,esri_demographics,2020/04/01 20:53:36+00
Tioga County,Pennsylvania,14.03935994,esri_demographics,2020/04/01 20:53:36+00
Union County,Pennsylvania,55.12978945,esri_demographics,2020/04/01 20:53:36+00
Venango County,Pennsylvania,29.99105013,esri_demographics,2020/04/01 20:53:36+00
Warren County,Pennsylvania,17.48323295,esri_demographics,2020/04/01 20:53:36+00
Washington County,Pennsylvania,93.50688126,esri_demographics,2020/04/01 20:53:36+00
Wayne County,Pennsylvania,27.42372792,esri_demographics,2020/04/01 20:53:36+00
Westmoreland County,Pennsylvania,133.2342207,esri_demographics,2020/04/01 20:53:36+00
Wyoming County,Pennsylvania,26.81007779,esri_demographics,2020/04/01 20:53:36+00
York County,Pennsylvania,189.5970158,esri_demographics,2020/04/01 20:53:36+00
